"date_long,year,id_no,country,region,source,latitude,longitude,magnitude_body,magnitude_surface,depth,yield_lower,yield_upper,purpose,name,type",year,id_no,country,region,source,latitude,longitude,magnitude_body,magnitude_surface,depth,yield_lower,yield_upper,purpose,name,type
"19620331,1962,62018,USA,NTS,DOE,37,-116,4.3,0,0.15,0,20,WR,CHINCHILLA:II,SHAFT",1962,62018,USA,NTS,DOE,37,-116,4.3,0,0.15,0,20,WEAPONS TESTING,CHINCHILLA:II,UNDERGROUND
"19620630,1962,62061,USA,NTS,DOE,37,-116,4.1,0,0.15,0,20,WR,SACRAMENTO,SHAFT",1962,62061,USA,NTS,DOE,37,-116,4.1,0,0.15,0,20,WEAPONS TESTING,SACRAMENTO,UNDERGROUND
"19581008,1958,58076,USA,NTS,DOE,37,-116,2.6,0,0.1,0.072,0.072,WR,TAMALPAIS,TUNNEL",1958,58076,USA,NTS,DOE,37,-116,2.6,0,0.1,0.072,0.072,WEAPONS TESTING,TAMALPAIS,UNDERGROUND
"19610916,1961,61019,USA,NTS,DOE,37,-116,2.5,0,0.1,0,20,WR,SHREW,SHAFT",1961,61019,USA,NTS,DOE,37,-116,2.5,0,0.1,0,20,WEAPONS TESTING,SHREW,UNDERGROUND
"19580608,1958,58030,USA,ENEWETAK,DOE,11.3,162.15,0,0,0.05,8,8,WE,UMBRELLA,UW",1958,58030,USA,ENEWETAK,DOE,11.3,162.15,0,0,0.05,8,8,EFFECT TESTING,UMBRELLA,UNDERWATER
"19460724,1946,46002,USA,BIKINI,DOE,11.35,165.2,0,0,0.03,21,21,WE,BAKER,UW",1946,46002,USA,BIKINI,DOE,11.35,165.2,0,0,0.03,21,21,EFFECT TESTING,BAKER,UNDERWATER
"19620305,1962,62013,USA,NTS,DOE,37,-116,4.3,0,0.03,0.43,0.43,WE,DANNY BOY,CRATER",1962,62013,USA,NTS,DOE,37,-116,4.3,0,0.03,0.43,0.43,EFFECT TESTING,DANNY BOY,SURFACE
"19550323,1955,55007,USA,NTS,DOE,37,-116,0,0,0.02,1,1,WE,ESS,CRATER",1955,55007,USA,NTS,DOE,37,-116,0,0,0.02,1,1,EFFECT TESTING,ESS,SURFACE
"19511129,1951,51018,USA,NTS,DOE,37,-116,0,0,0.01,1.2,1.2,WE,UNCLE,CRATER",1951,51018,USA,NTS,DOE,37,-116,0,0,0.01,1.2,1.2,EFFECT TESTING,UNCLE,SURFACE
"19490829,1949,49001,USSR,SEMI KAZAKH,DOE,48,76,0,0,0,22,22,WR,NA,SURFACE",1949,49001,USSR,SEMI KAZAKH,DOE,48,76,0,0,0,22,22,WEAPONS TESTING,NA,SURFACE
"19510924,1951,51010,USSR,SEMI KAZAKH,DOE,48,76,0,0,0,38,38,WR,NA,SURFACE",1951,51010,USSR,SEMI KAZAKH,DOE,48,76,0,0,0,38,38,WEAPONS TESTING,NA,SURFACE
"19511018,1951,51011,USSR,SEMI KAZAKH,DOE,48,76,0,0,0,42,42,WR,NA,AIRDROP",1951,51011,USSR,SEMI KAZAKH,DOE,48,76,0,0,0,42,42,WEAPONS TESTING,NA,AIRDROP
"19530812,1953,53012,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,400,400,WR,NA,SURFACE",1953,53012,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,400,400,WEAPONS TESTING,NA,SURFACE
"19530823,1953,53013,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,28,28,WR,NA,ATMOSPH",1953,53013,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,28,28,WEAPONS TESTING,NA,ATMOSPHERE
"19530903,1953,53014,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,5.8,5.8,WR,NA,ATMOSPH",1953,53014,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,5.8,5.8,WEAPONS TESTING,NA,ATMOSPHERE
"19530908,1953,53015,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,1.6,1.6,WR,NA,ATMOSPH",1953,53015,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,1.6,1.6,WEAPONS TESTING,NA,ATMOSPHERE
"19530910,1953,53016,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,4.9,4.9,WR,NA,ATMOSPH",1953,53016,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,4.9,4.9,WEAPONS TESTING,NA,ATMOSPHERE
"19531014,1953,53017,UK,EMU AUSTR,DOE,-28.7,132.35,0,0,0,10,10,WR,TOTEM:1,TOWER",1953,53017,UK,EMU AUSTR,DOE,-28.7,132.35,0,0,0,10,10,WEAPONS TESTING,TOTEM:1,ATMOSPHERE
"19531026,1953,53018,UK,EMU AUSTR,DOE,-28.7,132.35,0,0,0,8,8,WR,TOTEM:2,TOWER",1953,53018,UK,EMU AUSTR,DOE,-28.7,132.35,0,0,0,8,8,WEAPONS TESTING,TOTEM:2,ATMOSPHERE
"19540914,1954,54007,USSR,ORENBG RUSS,DOE,52,55,0,0,0,40,40,ME,NA,ATMOSPH",1954,54007,USSR,ORENBG RUSS,DOE,52,55,0,0,0,40,40,WEAPONS TESTING,NA,ATMOSPHERE
